"cnum","university","coursename","url"
"course1","University of Pennsylvania","An Introduction to American Law","https://www.coursera.org/learn/american-law"
"course30","University of Geneva","Droit International de l'Eau Douce","https://www.coursera.org/learn/droit-international-eau-douce"
"course12","The University of North Carolina at Chapel Hill","Introduction to Environmental Law and Policy","https://www.coursera.org/learn/environmental-law"
"course13","University of Michigan","Making Successful Decisions through the Strategy, Law & Ethics Model","https://www.coursera.org/learn/strategy-law-ethics"
"course10","The University of Chicago","Internet Giants: The Law and Economics of Media Platforms","https://www.coursera.org/learn/internetgiants"
"course21","University of California, Irvine","Chemerinsky on Constitutional Law - The Structure of Government","https://www.coursera.org/learn/chemerinsky-on-constitutional-law-structure-of-government"
"course23","Yale University","America's Unwritten Constitution","https://www.coursera.org/learn/unwritten-constitution"
"course11","Universiteit Leiden","International Law In Action: Investigating and Prosecuting International Crimes","https://www.coursera.org/learn/international-law-in-action-2"
"course15","University of Pennsylvania","Introduction to Key Constitutional Concepts and Supreme Court Cases","https://www.coursera.org/learn/constitution"
"course24","Tel Aviv University","Economic Growth and Distributive Justice Part I -The Role of the State","https://www.coursera.org/learn/economic-growth-part-1"
"course19","Wesleyan University","Property and Liability: An Introduction to Law and Economics","https://www.coursera.org/learn/property-law-and-economics"
"course5","University of London","English Common Law: Structure and Principles","https://www.coursera.org/learn/common-law"
"course20","Universiteit Leiden","EU policy and implementation: making Europe work! ","https://www.coursera.org/learn/eu-making-europe-work"
"course16","Lund University","European Business Law: Understanding the Fundamentals","https://www.coursera.org/learn/european-law-fundamentals"
"course2","Yale University","A Law Student's Toolkit","https://www.coursera.org/learn/law-student"
"course22","Lund University","European Business Law: Competing in Europe","https://www.coursera.org/learn/eu-competition-law"
"course29","Saint Petersburg State University","Constitutional Reforms in Russia","https://www.coursera.org/learn/constitutional-reforms-in-russia"
"course6","University of Geneva","Children's Human Rights - An Interdisciplinary Introduction","https://www.coursera.org/learn/childrens-rights"
"course14","University of Copenhagen","After the Arab Spring Democratic Aspirations and State Failure","https://www.coursera.org/learn/after-the-arab-spring"
"course25","Peking University","Academic Writing and Research","https://www.coursera.org/learn/lunwen-xiezuo-chujie"
"course32","Tel Aviv University","Economic Growth and Distributive Justice Part II - Maximize Social Wellbeing","https://www.coursera.org/learn/economic-growth-part-2"
"course8","Utrecht University","Human Rights for Open Societies","https://www.coursera.org/learn/humanrights"
"course3","Case Western Reserve University","Introduction to International Criminal Law","https://www.coursera.org/learn/international-criminal-law"
"course31","University of Geneva","International Water Law","https://www.coursera.org/learn/international-water-law"
"course26","Case Western Reserve University","Becoming a Sports Agent","https://www.coursera.org/learn/sports-agent"
"course7","Universiteit Leiden","International Law in Action: A Guide to the International Courts and Tribunals in The Hague","https://www.coursera.org/learn/international-law-in-action"
"course17","University of Copenhagen","Constitutional Struggles in the Muslim World","https://www.coursera.org/learn/muslim-world"
"course28","National Research University Higher School of Economics","Russian Trademark Law in Global Perspective","https://www.coursera.org/learn/russian-trademark-law"
"course4","Universiteit Leiden","International Law in Action: the Arbitration of International Disputes","https://www.coursera.org/learn/arbitration"
"course18","Lund University","European Business Law: Doing Business in Europe","https://www.coursera.org/learn/eu-law-doing-business"
"course27","University of California, Irvine","Chemerinsky on Constitutional Law Individual Rights and Liberties","https://www.coursera.org/learn/chemerinsky-individual-rights"
"course9","Universiteit Leiden","Rethinking International Tax Law","https://www.coursera.org/learn/international-taxation"
"course37","The University of Sheffield","Forensic Facial Reconstruction","https://www.futurelearn.com/courses/forensic-facial-reconstruction?lr=4"
"course43","Monash University","Law for Non-Lawyers","https://www.futurelearn.com/courses/law-for-non-lawyers?lr=10"
"course46","University of York","From Crime to Punishment","https://www.futurelearn.com/courses/crime-to-punishment?lr=13"
"course41","Law Society of Scotland","Maritime Law: an Introduction to Shipping Transactions","https://www.futurelearn.com/courses/maritime-law?lr=8"
"course34","University of Groningen","Understanding the General Data Protection Regulation","https://www.futurelearn.com/courses/general-data-protection-regulation?lr=1"
"course33","Kogod School of Business at American University","Business Analytics: The Data Explosion","https://www.futurelearn.com/courses/data-explosion?lr=0"
"course40","The Graduate Institute of International and Development Studies","International Affairs: Global Governance","https://www.futurelearn.com/courses/global-governance?lr=7"
"course36","European University Institute (EUI)","Why do People Migrate? Theories","https://www.futurelearn.com/courses/migration-theories?lr=3"
"course39","University of Glasgow","Antiquities Trafficking and Art Crime","https://www.futurelearn.com/courses/art-crime?lr=6"
"course45","University of Groningen","Inleiding Nederlands recht","https://www.futurelearn.com/courses/nederlands-recht?lr=12"
"course38","European University Institute (EUI)","Why Do People Migrate? Facts","https://www.futurelearn.com/courses/migration-facts?lr=5"
"course44","The Open University","Forensic Psychology","https://www.futurelearn.com/courses/forensic-psychology?lr=11"
"course42","New York Institute of Finance","Mergers and Acquisitions: Structuring the Deal","https://www.futurelearn.com/courses/mergers-acquisitions-structuring-deals?lr=9"
"course35","University of California, Berkeley","Transparent and Open Social Science Research","https://www.futurelearn.com/courses/open-social-science-research?lr=2"
